OGLE-BLG-RRLYR-00099  RRab  17:10:14.12 -33:00:11.1 
OGLE-BLG-RRLYR-00100  RRab  17:10:14.17 -32:09:26.0 
OGLE-BLG-RRLYR-00101  RRab  17:10:14.90 -32:55:57.0 
OGLE-BLG-RRLYR-00102  RRc   17:10:15.45 -32:54:58.0 
OGLE-BLG-RRLYR-00103  RRab  17:10:16.20 -31:53:53.2 
OGLE-BLG-RRLYR-00104  RRc   17:10:21.66 -31:43:01.8 
OGLE-BLG-RRLYR-00105  RRab  17:10:22.33 -31:46:10.8 
OGLE-BLG-RRLYR-00106  RRc   17:10:24.25 -31:52:19.9 
OGLE-BLG-RRLYR-00107  RRc   17:10:25.57 -31:53:58.3 
OGLE-BLG-RRLYR-00108  RRc   17:10:28.63 -32:01:21.9 
OGLE-BLG-RRLYR-00109  RRab  17:10:30.71 -31:55:18.3 
OGLE-BLG-RRLYR-00110  RRab  17:10:31.87 -33:14:14.8 
OGLE-BLG-RRLYR-00111  RRab  17:10:33.95 -32:50:28.7 
OGLE-BLG-RRLYR-00112  RRab  17:10:35.05 -32:00:52.7 
OGLE-BLG-RRLYR-00113  RRab  17:10:37.91 -32:06:01.6 
OGLE-BLG-RRLYR-00114  RRab  17:10:38.87 -33:13:12.1 
OGLE-BLG-RRLYR-00115  RRc   17:10:42.92 -33:06:23.9 
OGLE-BLG-RRLYR-00116  RRab  17:10:43.28 -31:42:25.8 
OGLE-BLG-RRLYR-00117  RRab  17:10:46.02 -33:17:20.9 
OGLE-BLG-RRLYR-00118  RRc   17:10:49.00 -32:45:37.9 
OGLE-BLG-RRLYR-00119  RRab  17:10:49.68 -32:05:41.0 
OGLE-BLG-RRLYR-00120  RRc   17:10:50.20 -31:48:20.6 
OGLE-BLG-RRLYR-00121  RRab  17:10:51.20 -32:12:32.2 
OGLE-BLG-RRLYR-00122  RRab  17:10:53.23 -31:54:46.7 
OGLE-BLG-RRLYR-00123  RRab  17:10:53.54 -32:06:21.2 
OGLE-BLG-RRLYR-00124  RRc   17:10:55.23 -32:47:26.2 
OGLE-BLG-RRLYR-00125  RRab  17:10:57.79 -32:46:58.9 
OGLE-BLG-RRLYR-00126  RRc   17:10:58.75 -33:09:18.2 
OGLE-BLG-RRLYR-00127  RRab  17:10:59.84 -32:57:14.8 
OGLE-BLG-RRLYR-00128  RRab  17:11:02.54 -33:02:50.2 
OGLE-BLG-RRLYR-00129  RRab  17:11:07.28 -32:45:25.1 
OGLE-BLG-RRLYR-00130  RRab  17:11:09.16 -32:51:19.0 
OGLE-BLG-RRLYR-00131  RRc   17:11:09.62 -33:15:53.8 
OGLE-BLG-RRLYR-00132  RRc   17:11:11.30 -32:57:58.8 
OGLE-BLG-RRLYR-00133  RRab  17:11:15.21 -32:45:46.7 
OGLE-BLG-RRLYR-00134  RRc   17:11:15.38 -32:59:22.4 
OGLE-BLG-RRLYR-00135  RRab  17:11:21.11 -32:50:54.0 
