OGLE-BLG-RRLYR-07533  16.668 17.999  0.27560976 0.00000014  7000.07442  0.211  0.129 5.236  0.031 3.965  0.37591827 0.00000022  7000.33765  0.235  0.214 4.300  0.049 2.399
OGLE-BLG-RRLYR-07686  15.370 16.531  0.34684502 0.00000051  7000.12220  0.251  0.175 5.140  0.055 3.879  0.46652204 0.00000127  7000.46203  0.199  0.181 4.174  0.040 3.374
OGLE-BLG-RRLYR-08461  18.597 21.015  0.42193189 0.00000069  7000.27572  0.080  0.143 5.244  0.117 4.018  0.56593348 0.00000369  7000.00498  0.028  0.076   -    0.073   -  
OGLE-BLG-RRLYR-08758  16.638 17.791  0.29601142 0.00000015  7000.10690  0.274  0.105 4.923  0.051 3.957  0.40167265 0.00000102  7000.02851  0.082  0.116 3.987  0.000   -  
OGLE-BLG-RRLYR-09258  16.453 18.236  0.27766817 0.00000005  7000.10981  0.202  0.105 4.999  0.059 4.091  0.37932764 0.00000014  7000.19898  0.123  0.130 4.253  0.010   -  
OGLE-BLG-RRLYR-09284  15.382 17.660  0.32299640 0.00000009  7000.06459  0.118  0.113 5.092  0.059 3.834  0.43680373 0.00000030  7000.14611  0.062  0.136 4.131  0.012 2.506
OGLE-BLG-RRLYR-09602  17.640 19.836  0.35851249 0.00000112  7000.10837  0.261  0.201 4.906  0.000   -    0.48158137 0.00000292  7000.33281  0.187  0.113 3.896  0.200 3.322
OGLE-BLG-RRLYR-09692  16.440 19.451  0.32691615 0.00000042  7000.30696  0.097  0.082 5.062  0.065 3.857  0.44176272 0.00000265  7000.10871  0.028  0.091   -    0.030   -  
OGLE-BLG-RRLYR-09742  16.700 18.609  0.31927051 0.00000008  7000.06732  0.239  0.104 5.119  0.074 4.095  0.43177192 0.00000035  7000.32928  0.089  0.097 4.262  0.008   -  
OGLE-BLG-RRLYR-10242  16.615 18.324  0.32604518 0.00000007  7000.15117  0.257  0.106 4.977  0.074 4.057  0.44074815 0.00000197  7000.33015  0.013  0.043   -    0.090 2.771
OGLE-BLG-RRLYR-10369  16.554 18.395  0.32170635 0.00000007  7000.04146  0.222  0.111 5.135  0.065 3.994  0.43487035 0.00000022  7000.27669  0.114  0.115 4.244  0.005   -  
OGLE-BLG-RRLYR-10421  16.752 18.232  0.26253747 0.00000013  7000.04013  0.168  0.123 5.199  0.029 3.447  0.36034110 0.00000019  7000.33850  0.214  0.236 4.279  0.061 2.388
OGLE-BLG-RRLYR-10510  14.840 14.840  0.37497055 0.00000006  7000.28110  0.256  0.176 5.118  0.073 3.467  0.50306920 0.00000021  7000.37420  0.118  0.121 4.034  0.018 2.518
OGLE-BLG-RRLYR-10641  17.102 19.062  0.32169698 0.00000010  7000.23573  0.220  0.139 5.222  0.060 3.592  0.43462918 0.00000022  7000.29582  0.172  0.175 4.247  0.030 2.330
OGLE-BLG-RRLYR-10744  16.114 17.423  0.35576414 0.00000009  7000.14946  0.250  0.126 5.089  0.070 3.776  0.47811448 0.00000150  7000.24078  0.029  0.043   -    0.024   -  
OGLE-BLG-RRLYR-10796  15.774 17.307  0.31909942 0.00000005  7000.07932  0.237  0.100 5.085  0.066 4.148  0.43137603 0.00000027  7000.38790  0.070  0.079 4.294  0.013 3.399
OGLE-BLG-RRLYR-11008  15.348 16.444  0.36432375 0.00000021  7000.02043  0.258  0.192 5.086  0.062 2.935  0.48936478 0.00000050  7000.35950  0.191  0.181 4.084  0.044 2.550
OGLE-BLG-RRLYR-11113  18.639 20.087  0.35548856 0.00000054  7000.18017  0.230  0.218 5.039  0.063 3.419  0.47798389 0.00000093  7000.28208  0.221  0.233 3.824  0.084 2.451
