OGLE-BLG-RRLYR-00092  16.211    -    0.40015306 0.00000183  7000.00755  0.224  0.000   -    0.055   -  
OGLE-BLG-RRLYR-00097  15.375    -    0.32723902 0.00000059  7000.15939  0.265  0.100 5.080  0.077 4.124
OGLE-BLG-RRLYR-00102  15.735    -    0.29602914 0.00000061  7000.07651  0.280  0.127 4.826  0.094 3.613
OGLE-BLG-RRLYR-00104  17.167    -    0.28322295 0.00000083  7000.16925  0.286  0.107 4.945  0.100 2.910
OGLE-BLG-RRLYR-00106  16.359    -    0.33568700 0.00000353  7000.01935  0.147  0.000   -    0.163 1.793
OGLE-BLG-RRLYR-00107  16.023 17.196  0.29950220 0.00000057  7000.16400  0.266  0.127 4.838  0.071 3.978
OGLE-BLG-RRLYR-00108  16.234    -    0.32010614 0.00000095  7000.29084  0.230  0.000   -    0.000   -  
OGLE-BLG-RRLYR-00115  15.798    -    0.27790416 0.00000226  7000.03203  0.310  0.141 4.890  0.098 4.916
OGLE-BLG-RRLYR-00118  16.423    -    0.30140085 0.00000057  7000.28421  0.310  0.282 4.635  0.119 2.456
OGLE-BLG-RRLYR-00120  16.213    -    0.38484168 0.00000331  7000.35428  0.226  0.124 5.713  0.000   -  
OGLE-BLG-RRLYR-00124  16.274    -    0.29891524 0.00000070  7000.00488  0.289  0.097 4.865  0.000   -  
OGLE-BLG-RRLYR-00126  15.536    -    0.35162513 0.00000176  7000.08361  0.293  0.076 5.188  0.000   -  
OGLE-BLG-RRLYR-00131  16.877    -    0.32547631 0.00000099  7000.07527  0.282  0.113 4.868  0.000   -  
OGLE-BLG-RRLYR-00132  16.436    -    0.30102663 0.00000108  7000.16611  0.264  0.132 5.027  0.084 2.759
OGLE-BLG-RRLYR-00134  16.117    -    0.25522550 0.00000192  7000.16583  0.221  0.148 4.013  0.163 1.175
OGLE-BLG-RRLYR-00137  15.686    -    0.31025162 0.00000056  7000.04205  0.269  0.169 4.876  0.093 3.622
OGLE-BLG-RRLYR-00140  16.034    -    0.32290502 0.00000061  7000.00604  0.251  0.109 4.926  0.051 4.119
OGLE-BLG-RRLYR-00142  15.849    -    0.29501929 0.00000149  7000.26664  0.301  0.146 4.517  0.061 3.618
OGLE-BLG-RRLYR-00144  16.041    -    0.29042918 0.00000054  7000.11880  0.270  0.144 4.628  0.094 3.457
OGLE-BLG-RRLYR-00152  15.659    -    0.32149398 0.00000073  7000.11541  0.276  0.127 4.867  0.092 4.189
OGLE-BLG-RRLYR-00153  15.356    -    0.35024311 0.00000077  7000.27680  0.259  0.071 5.284  0.054 4.770
OGLE-BLG-RRLYR-00154  16.462    -    0.30063516 0.00000076  7000.14892  0.265  0.131 4.829  0.078 3.091
OGLE-BLG-RRLYR-00156  15.988    -    0.37900572 0.00000225  7000.15191  0.257  0.074 6.137  0.000   -  
OGLE-BLG-RRLYR-00164  16.056 17.086  0.30971493 0.00000082  7000.26346  0.255  0.113 5.118  0.066 4.180
OGLE-BLG-RRLYR-00167  15.860 17.088  0.36163861 0.00000028  7000.35815  0.250  0.108 5.389  0.067 4.405
OGLE-BLG-RRLYR-00168  16.905    -    0.31010141 0.00000080  7000.09064  0.243  0.079 4.884  0.072   -  
OGLE-BLG-RRLYR-00170  15.788    -    0.27619858 0.00000032  7000.15140  0.291  0.150 4.578  0.079 3.119
OGLE-BLG-RRLYR-00173  16.401    -    0.42711616 0.00000268  7000.37509  0.280  0.156 5.051  0.089 3.433
OGLE-BLG-RRLYR-00174  15.730    -    0.33210030 0.00000070  7000.25060  0.259  0.095 4.832  0.064 3.803
OGLE-BLG-RRLYR-00180  15.896    -    0.25635606 0.00000053  7000.23405  0.157  0.155 4.761  0.063   -  
OGLE-BLG-RRLYR-00185  16.062    -    0.31343011 0.00000706  7000.06335  0.277  0.093 5.053  0.066 4.010
OGLE-BLG-RRLYR-00186  16.087    -    0.33583174 0.00000057  7000.12213  0.273  0.065 5.080  0.099 4.073
OGLE-BLG-RRLYR-00191  16.756    -    0.23931471 0.00000123  7000.11844  0.289  0.143 4.746  0.073   -  
OGLE-BLG-RRLYR-00198  15.966 17.004  0.31793233 0.00000035  7000.17455  0.188  0.081 4.871  0.071 3.733
OGLE-BLG-RRLYR-00200  16.643 17.798  0.31974767 0.00000056  7000.09763  0.250  0.080 4.606  0.100 4.006
OGLE-BLG-RRLYR-00202  15.635    -    0.25439365 0.00000064  7000.08616  0.252  0.159 4.840  0.069 2.971
OGLE-BLG-RRLYR-00203  16.094 17.210  0.33365165 0.00000011  7000.27080  0.249  0.100 5.045  0.057 4.132
OGLE-BLG-RRLYR-00209  16.510 17.674  0.32407953 0.00000015  7000.17385  0.247  0.101 4.997  0.066 4.208
