OGLE-GD-RRLYR-00086  RRab  06:16:01.26 +16:45:17.3  GD1815.18.3687                                   
OGLE-GD-RRLYR-00087  RRab  06:16:09.50 +11:09:23.7  GD1797.02.3916                                   
OGLE-GD-RRLYR-00088  RRab  06:16:49.85 +15:13:57.0  GD1811.08.3398                                   
OGLE-GD-RRLYR-00089  RRab  06:16:52.43 +13:13:30.1  GD1801.16.421                                    
OGLE-GD-RRLYR-00090  RRc   06:17:15.07 +07:42:15.8  GD2439.09.12                                     ASAS J061715+0742.3
OGLE-GD-RRLYR-00091  RRab  06:17:26.81 +19:49:49.6  GD1823.24.4365                                   
OGLE-GD-RRLYR-00092  RRab  06:17:48.45 +19:43:13.4  GD1823.23.60                                     V0670 Ori
OGLE-GD-RRLYR-00093  RRab  06:18:18.63 +15:07:38.6  GD1805.31.8                                      
OGLE-GD-RRLYR-00094  RRab  06:18:45.21 -00:40:37.8  GD2437.07.60                                     
OGLE-GD-RRLYR-00095  RRab  06:19:03.89 +15:50:29.4  GD1810.13.3125                                   
OGLE-GD-RRLYR-00096  RRab  06:19:24.43 +06:50:03.3  GD2431.05.289                                    
OGLE-GD-RRLYR-00097  RRd   06:20:28.58 -00:01:39.9  GD2437.21.360                                    
OGLE-GD-RRLYR-00098  RRc   06:21:21.82 +12:04:06.6  GD1796.10.430                                    
OGLE-GD-RRLYR-00099  RRc   06:21:36.70 +05:26:03.0  GD2433.27.3342                                   
OGLE-GD-RRLYR-00100  RRab  06:21:42.37 +03:20:11.8  GD2434.10.335                                    
OGLE-GD-RRLYR-00101  RRab  06:22:23.37 +14:36:26.0  GD1805.08.3836                                   
OGLE-GD-RRLYR-00102  RRab  06:22:38.95 +01:24:40.8  GD2436.18.4292                                   
OGLE-GD-RRLYR-00103  RRc   06:22:44.33 +18:31:53.3  GD1818.07.3                                      V0397 Gem
OGLE-GD-RRLYR-00104  RRab  06:22:51.08 +12:44:58.5  GD1795.15.4779                                   
OGLE-GD-RRLYR-00105  RRc   06:22:58.30 +07:43:58.3  GD1777.15.253                                    
OGLE-GD-RRLYR-00106  RRab  06:23:18.31 +18:08:56.4  GD1813.31.267                                    
OGLE-GD-RRLYR-00107  RRab  06:23:20.22 +16:03:59.6  GD1809.06.283                                    
OGLE-GD-RRLYR-00108  RRab  06:23:21.77 +07:39:54.3  GD1777.15.10                                     GM Mon
OGLE-GD-RRLYR-00109  RRab  06:23:26.22 +00:05:45.8  GD2428.07.5148                                   
OGLE-GD-RRLYR-00110  RRab  06:23:33.98 -01:57:45.7  GD2430.15.3160                                   ASAS J062334-0157.8
OGLE-GD-RRLYR-00111  RRab  06:23:53.27 +14:06:36.5  GD1800.22.170                                    
OGLE-GD-RRLYR-00112  RRab  06:23:55.54 +03:49:52.1  GD2425.06.4403                                   
