OGLE-GD-RRLYR-00033  16.587    -    0.56256539 0.00000153  7000.25108  0.523  0.414 4.302  0.314 2.561
OGLE-GD-RRLYR-00034  18.070    -    0.63361947 0.00000748  7000.56788  0.251  0.243   -    0.000   -  
OGLE-GD-RRLYR-00035  17.376    -    0.73367572 0.00000176  7000.29034  0.634  0.518 4.531  0.349 2.786
OGLE-GD-RRLYR-00038  14.756    -    0.44187973 0.00000062  7000.42600  0.607  0.529 4.381  0.356 2.761
OGLE-GD-RRLYR-00039  16.650    -    0.47190526 0.00000047  7000.14305  0.540  0.524 4.518  0.318 3.059
OGLE-GD-RRLYR-00040  18.350    -    0.33319516 0.00000095  7000.19558  0.622  0.527 4.388  0.215 2.838
OGLE-GD-RRLYR-00041  18.647    -    0.51530750 0.00000327  7000.43174  0.401  0.473 4.599  0.000   -  
OGLE-GD-RRLYR-00043  19.049    -    0.46270081 0.00000253  7000.30141  0.698  0.582 3.999  0.318 2.486
OGLE-GD-RRLYR-00044  16.718    -    0.36713415 0.00000057  7000.15091  0.528  0.420 4.496  0.214 2.659
OGLE-GD-RRLYR-00045  16.334    -    0.45236481 0.00000479  7000.38598  0.760  0.476 3.959  0.354 1.891
OGLE-GD-RRLYR-00046  17.236 18.267  0.63585712 0.00004348  7000.61666  0.328  0.418 4.553  0.279 3.366
OGLE-GD-RRLYR-00047  16.102 17.195  0.59282708 0.00004115  7000.56929  0.576  0.452 4.196  0.297 2.508
OGLE-GD-RRLYR-00050  18.700    -    0.57697986 0.00005611  7000.43514  0.632  0.558 4.487  0.325 2.852
OGLE-GD-RRLYR-00052  16.402 17.388  0.55022505 0.00000920  7000.31966  0.653  0.511 4.258  0.375 2.455
OGLE-GD-RRLYR-00053  16.775 18.427  0.45585691 0.00001058  7000.29483  0.917  0.521 4.160  0.348 2.067
OGLE-GD-RRLYR-00054  15.795 16.706  0.59158906 0.00004170  7000.19350  0.541  0.453 4.371  0.329 2.562
OGLE-GD-RRLYR-00055  14.770 15.569  0.41990776 0.00001488  7000.38715  0.661  0.542 4.311  0.429 2.659
