OGLE-GD-RRLYR-00099  14.111 14.741  0.22567821 0.00000143  7000.03334  0.253  0.161 4.684  0.063 2.677
OGLE-GD-RRLYR-00103  11.625    -    0.28668986 0.00000015  7000.23963  0.357  0.387 4.356  0.090 2.350
OGLE-GD-RRLYR-00105  15.813    -    0.25602446 0.00000045  7000.01890  0.227  0.125 4.560  0.078 3.262
OGLE-GD-RRLYR-00119  14.892    -    0.29347936 0.00000041  7000.26330  0.247  0.100 4.827  0.063 4.220
OGLE-GD-RRLYR-00121  17.111    -    0.33844255 0.00000133  7000.02099  0.295  0.150 5.240  0.000   -  
OGLE-GD-RRLYR-00127  17.231 18.150  0.32553534 0.00000811  7000.12763  0.298  0.147 5.124  0.000   -  
OGLE-GD-RRLYR-00130  15.085    -    0.28705009 0.00000025  7000.15869  0.303  0.206 4.770  0.117 2.885
OGLE-GD-RRLYR-00132  15.983    -    0.31250626 0.00000049  7000.24024  0.256  0.137 4.645  0.064 3.462
OGLE-GD-RRLYR-00135  16.954    -    0.27249480 0.00000061  7000.05863  0.225  0.110 5.173  0.000   -  
OGLE-GD-RRLYR-00139  16.263    -    0.24696954 0.00000055  7000.22223  0.253  0.152 4.672  0.124 3.489
OGLE-GD-RRLYR-00148  16.378    -    0.27631222 0.00000079  7000.11630  0.266  0.202 4.821  0.000   -  
OGLE-GD-RRLYR-00149  15.528    -    0.32498074 0.00000055  7000.08363  0.243  0.109 4.789  0.067 4.227
OGLE-GD-RRLYR-00170  17.606 18.620  0.31713933 0.00000716  7000.04253  0.319  0.233 5.107  0.000   -  
OGLE-GD-RRLYR-00173  15.869 16.752  0.23999587 0.00000288  7000.14079  0.207  0.123 4.689  0.000   -  
OGLE-GD-RRLYR-00174  14.937    -    0.32107500 0.00000037  7000.28041  0.296  0.134 5.113  0.063 3.917
OGLE-GD-RRLYR-00184  18.252    -    0.30949337 0.00000173  7000.05965  0.343  0.239 4.797  0.000   -  
OGLE-GD-RRLYR-00185  17.519    -    0.34293850 0.00000096  7000.06654  0.281  0.143 5.233  0.000   -  
OGLE-GD-RRLYR-00188  17.648    -    0.29909249 0.00000100  7000.19875  0.354  0.278 4.701  0.000   -  
OGLE-GD-RRLYR-00190  14.746 15.735  0.27380197 0.00000291  7000.14939  0.261  0.000   -    0.085 5.188
OGLE-GD-RRLYR-00192  17.203 18.715  0.34233366 0.00000956  7000.23633  0.261  0.120 5.136  0.096   -  
OGLE-GD-RRLYR-00196  17.184    -    0.32910985 0.00000614  7000.28652  0.315  0.153 5.263  0.075 3.519
