OGLE-GD-RRLYR-00049  RRc   05:49:56.24 +14:42:00.3  
OGLE-GD-RRLYR-00050  RRab  05:51:45.43 +17:03:46.8  
OGLE-GD-RRLYR-00051  RRd   05:52:02.55 +13:54:10.3  
OGLE-GD-RRLYR-00052  RRab  05:52:16.44 +17:09:07.0  
OGLE-GD-RRLYR-00053  RRab  05:53:18.86 +17:06:54.4  
OGLE-GD-RRLYR-00054  RRab  05:54:47.85 +11:30:12.9  
OGLE-GD-RRLYR-00055  RRab  05:55:18.69 +15:09:16.3  
OGLE-GD-RRLYR-00056  RRab  05:56:12.39 +16:28:27.2  
OGLE-GD-RRLYR-00057  RRab  05:56:26.17 +17:56:29.5  
OGLE-GD-RRLYR-00058  RRab  05:56:54.99 +19:24:46.8  
OGLE-GD-RRLYR-00059  RRab  06:00:01.65 +10:19:18.2  
OGLE-GD-RRLYR-00060  RRab  06:01:02.87 +14:14:57.0  
OGLE-GD-RRLYR-00061  RRab  06:01:50.16 +15:24:04.8  
OGLE-GD-RRLYR-00062  RRc   06:02:10.63 +14:16:57.0  
OGLE-GD-RRLYR-00063  RRab  06:02:44.38 +17:55:24.8  
OGLE-GD-RRLYR-00064  RRab  06:03:24.56 +08:49:20.8  
OGLE-GD-RRLYR-00065  RRab  06:03:43.88 +10:37:21.0  
OGLE-GD-RRLYR-00066  RRab  06:03:45.90 +16:57:54.2  
OGLE-GD-RRLYR-00067  RRab  06:04:55.14 +19:30:45.2  
OGLE-GD-RRLYR-00068  RRab  06:05:28.89 +19:10:52.3  
OGLE-GD-RRLYR-00069  RRab  06:07:00.87 +15:00:05.1  
OGLE-GD-RRLYR-00070  RRab  06:07:13.00 +12:17:50.0  
OGLE-GD-RRLYR-00071  RRab  06:07:23.44 +13:59:10.2  
OGLE-GD-RRLYR-00072  RRab  06:07:47.83 +11:46:48.7  
OGLE-GD-RRLYR-00073  RRab  06:08:35.34 +12:36:21.1  
OGLE-GD-RRLYR-00074  RRab  06:08:38.11 +10:25:52.4  
OGLE-GD-RRLYR-00075  RRab  06:10:33.09 +09:01:02.7  
OGLE-GD-RRLYR-00076  RRab  06:10:59.88 +04:40:32.2  
OGLE-GD-RRLYR-00077  RRab  06:13:37.33 +07:02:35.0  
OGLE-GD-RRLYR-00078  RRab  06:13:42.83 +09:10:31.2  
OGLE-GD-RRLYR-00079  RRab  06:14:00.87 +08:21:06.7  
OGLE-GD-RRLYR-00080  RRab  06:14:16.51 +15:06:39.8  
OGLE-GD-RRLYR-00081  RRc   06:14:20.66 +08:21:09.9  
OGLE-GD-RRLYR-00082  RRab  06:14:38.90 +09:50:13.5  
OGLE-GD-RRLYR-00083  RRab  06:14:40.97 +18:59:09.5  
OGLE-GD-RRLYR-00084  RRab  06:15:35.13 +08:35:21.1  
OGLE-GD-RRLYR-00085  RRc   06:15:53.61 +11:39:08.7  
OGLE-GD-RRLYR-00086  RRab  06:16:01.26 +16:45:17.3  
OGLE-GD-RRLYR-00087  RRab  06:16:09.50 +11:09:23.7  
OGLE-GD-RRLYR-00088  RRab  06:16:49.85 +15:13:57.0  
OGLE-GD-RRLYR-00089  RRab  06:16:52.43 +13:13:30.1  
OGLE-GD-RRLYR-00090  RRc   06:17:15.07 +07:42:15.8  
OGLE-GD-RRLYR-00091  RRab  06:17:26.81 +19:49:49.6  
OGLE-GD-RRLYR-00092  RRab  06:17:48.45 +19:43:13.4  
OGLE-GD-RRLYR-00093  RRab  06:18:18.63 +15:07:38.6  
OGLE-GD-RRLYR-00094  RRab  06:18:45.21 -00:40:37.8  
OGLE-GD-RRLYR-00095  RRab  06:19:03.89 +15:50:29.4  
OGLE-GD-RRLYR-00096  RRab  06:19:24.43 +06:50:03.3  
OGLE-GD-RRLYR-00097  RRd   06:20:28.58 -00:01:39.9  
OGLE-GD-RRLYR-00098  RRc   06:21:21.82 +12:04:06.6  
OGLE-GD-RRLYR-00099  RRc   06:21:36.70 +05:26:03.0  
