# ID       RA         DEC         Period   <mag>  ampl  C Type 
125      17:01:10.09 -30:07:40.1    0.2737 --     --    V RR1 
126      17:01:14.63 -30:07:38.2    0.5133 --     --    V RR0 
127      17:01:09.35 -30:07:37.5    0.5328 15.942 1.307 V RR0 
128      17:01:18.89 -30:07:37.3    0.2504 16.692 0.359 V RR1 
129      17:01:14.77 -30:07:36.6    0.3292 --     --    V RR1 
130      17:01:11.90 -30:07:32.6    0.2613 --     --    V RR1 
131      17:01:18.71 -30:07:31.5    0.3132 16.530 0.431 V RR1 
132      17:01:12.05 -30:07:29.9    0.2842 16.189 0.628 V RR1 
133      17:01:12.94 -30:07:29.5    0.3156 16.190 0.479 V RR1 
134      17:01:13.19 -30:07:29.7    0.336  --     --    V RR1 
135      17:00:51.03 -30:07:28.7    0.593  16.263 0.698 V RR0 
136      17:01:15.26 -30:07:27.2    0.6258 16.227 0.878 V RR0 
137      17:01:12.17 -30:07:25.8    0.515  --     --    V RR0 
138      17:01:12.77 -30:07:25.7    0.6051 --     --    V RR0 
139      17:01:13.02 -30:07:25.8    0.5405 --     --    V RR0 
140      17:01:15.29 -30:07:25.0    0.3830 16.097 0.427 V RR1 
141      17:01:12.70 -30:07:24.2    0.2994 --     --    V RR1 
142      17:01:17.97 -30:07:21.8    0.2758 --     --    V RR1 
143      17:01:11.92 -30:07:19.0    0.2959 --     --    V RR1 
144      17:01:11.40 -30:07:18.6    0.6105 --     --    V RR0 
145      17:01:14.60 -30:07:16.4    0.5665 --     --    V RR0 
146      17:01:11.23 -30:07:15.8    0.4660 --     --    V RR0 
147      17:01:12.26 -30:07:15.2    0.3259 --     --    V RR1 
148      17:01:13.71 -30:07:14.5    0.5606 --     --    V RR0 
149      17:01:12.23 -30:07:12.5    0.319  --     --    V RR1 
150      17:01:09.61 -30:07:11.4    0.5480 16.159 0.686 V RR0 
151      17:01:10.77 -30:07:09.7    0.3153 --     --    V RR1 
152      17:01:17.10 -30:07:08.9    0.3032 --     --    V RR1 
153      17:01:03.84 -30:07:08.3    0.3129 16.109 0.462 V RR1 
154      17:01:09.73 -30:07:08.0    0.3151 --     --    V RR1 
155      17:01:13.14 -30:07:07.6    0.271  --     --    V RR1 
156      17:01:12.26 -30:07:06.8    0.577  --     --    V RR0 
157      17:01:13.92 -30:07:06.4    0.7195 --     --    V RR0 
158      17:01:12.15 -30:07:06.1    0.264  --     --    V RR1 
159      17:01:09.45 -30:07:05.1    0.3763 --     --    V RR1 
160      17:01:10.15 -30:07:04.9    0.5437 16.147 1.218 V RR0 
161      17:01:14.50 -30:07:02.9    0.5568 --     --    V RR0 
162      17:01:13.06 -30:07:02.7    0.6032 --     --    V RR0 
163      17:01:13.62 -30:07:01.9    0.5943 --     --    V RR0 
165      17:01:12.58 -30:06:59.0    0.4520 --     --    V RR0 
166      17:01:13.18 -30:06:58.5    0.290  --     --    V RR1 
167      17:01:15.48 -30:06:58.1    0.630  --     --    V RR0 
168      17:01:04.87 -30:06:57.5    0.5754 16.143 0.417 V RR0 
169      17:01:10.00 -30:06:56.3    0.5144 --     --    V RR0 
171      17:01:16.51 -30:06:55.9    0.6482 16.246 0.254 V RR1?
172      17:01:14.01 -30:06:55.8    0.3132 --     --    V RR1 
173      17:01:13.33 -30:06:55.3    0.347  --     --    V RR1 
174      17:01:12.42 -30:06:55.1    0.3175 --     --    V RR1 
175      17:01:17.10 -30:06:55.1    0.2816 16.372 0.516 V RR1 
176      17:01:13.31 -30:06:52.9    0.2628 --     --    V RR1 
177      17:01:10.02 -30:06:52.2    0.6851 --     --    V RR0 
178      17:01:13.14 -30:06:52.2    0.407  --     --    V RR1 
179      17:01:12.36 -30:06:51.9    0.5483 --     --    V RR0 
181      17:01:10.82 -30:06:49.4    0.5895 --     --    V RR0 
182      17:01:12.11 -30:06:49.0    0.505  --     --    V RR0 
183      17:01:13.41 -30:06:49.1    0.5686 --     --    V RR0 
184      17:01:12.53 -30:06:48.8    0.5722 --     --    V RR0 
185      17:01:15.34 -30:06:48.7    0.591  --     --    V RR0 
186      17:01:13.85 -30:06:48.3    0.3025 --     --    V RR1 
187      17:01:11.69 -30:06:47.8    0.491  --     --    V RR0 
