# RA            DEC           ID_C   ID_OGLE                I        V        P_1         dP_1     A_1     Period   <mag>    ampl    C   Type   ID_OTHER        RA_ICRS           e_RA      DE_ICRS           e_DE      Source                Plx          e_Plx     pmRA        e_pmRA   pmDE        e_pmDE   Gmag      e_Gmag   BPmag     e_BP     RPmag     e_RP     BP-RP     Dup   NgAL   chi2AL      E(BR/RP)   Membership      
  17:01:04.85   -30:06:54.1   168    OGLE-BLG-RRLYR-41772   14.933   -99.99   0.5756229   1.8E-6   0.417   0.5754   16.143   0.417   V   RRab   NGC6266-NV168   255.27017980147   0.0717    -30.11504887356   0.0403    6029368342463149184   0.3686       0.0755    -5.009      0.114    -2.592      0.07     15.7744   0.0101   16.1879   0.0385   14.9143   0.0284   1.2735    0     263    227.86      1.442      0.974754111     
  17:01:05.11   -30:08:02.7   84     OGLE-BLG-RRLYR-41775   14.842   -99.99   0.7312467   2.4E-6   0.278   0.7312   16.111   0.461   V   RRab   NGC6266-NV84    255.27127217354   0.0675    -30.1341033051    0.0389    6029367895786551552   0.1869       0.0729    -5.271      0.115    -2.332      0.068    15.7493   0.0067   16.2659   0.0255   14.9101   0.0188   1.3558    0     302    330.26      1.378      0.93588062      
  17:01:05.32   -30:06:18.8   58     OGLE-BLG-RRLYR-41776   15.034   -99.99   0.4813636   8.2E-6   0.56    0.481    --       0.996   V   RRab   NGC6266-V58     255.27217370707   0.11      -30.10525653108   0.0573    6029368342463151616   -0.6407      0.1128    -4.427      0.162    -3.377      0.097    15.8548   0.0124   16.1842   0.0375   15.0039   0.0258   1.1803    0     283    578.6       1.474      0.94839512      
  17:01:05.59   -30:04:08.5   8      OGLE-BLG-RRLYR-41779   14.931   -99.99   0.5327118   4.0E-7   0.654   0.5327   16.034   1.009   V   RRab   NGC6266-V8      255.27330094743   0.2453    -30.06904840509   0.1461    6029368759188584320   0.6965       0.2986    -6.849      0.411    -3.304      0.256    15.7073   0.0134   15.9808   0.0502   14.8342   0.0295   1.1466    0     343    8371.93     1.522      0.456242652     
  17:01:05.59   -30:03:17.3   9      OGLE-BLG-RRLYR-41780   14.801   -99.99   0.556573    4.0E-7   0.782   0.5566   16.040   1.28    P   RRab   NGC6266-V9      255.27329515124   0.0726    -30.05481557892   0.0405    6029368789140003840   0.1888       0.0791    -4.735      0.132    -3.04       0.071    15.634    0.0162   16.0      0.0578   14.91     0.0387   1.09      0     303    395.54      1.353      0.980620522     
  17:01:05.70   -30:07:30.4   4      OGLE-BLG-RRLYR-41781   14.967   -99.99   0.5414233   1.8E-6   0.648   0.5411   16.109   1.068   V   RRab   NGC6266-V4      255.27371396563   0.1549    -30.12513140421   0.0966    6029367900194921856   1.1739       0.1911    -6.975      0.256    -2.126      0.166    15.8294   0.0085   16.2372   0.0296   14.9635   0.0173   1.2737    0     273    1256.65     1.449      0.0103567075    
  17:01:06.09   -30:03:01.7   ""     OGLE-BLG-RRLYR-41787   15.158   -99.99   0.2478926   4.0E-7   0.19    ""       ""       ""      ""  RRc    -99.99          255.27536524463   0.0615    -30.05049523531   0.0359    6029368789140005888   0.1694       0.0717    -4.816      0.103    -2.701      0.062    15.7772   0.005    16.1157   0.0203   15.2289   0.0118   0.8869    0     320    267.93      1.243      0.978126599     
  17:01:06.11   -30:06:57.4   3      OGLE-BLG-RRLYR-41788   15.037   -99.99   0.4913753   2.0E-7   0.791   0.4913   --       --      V   RRab   NGC6266-V3      255.27544888054   0.1236    -30.11598152558   0.072     6029368278050006144   0.3402       0.1347    -4.67       0.203    -2.217      0.124    15.8446   0.0169   15.8629   0.0525   14.6352   0.0307   1.2277    0     256    1229.84     2.019      0.897894435     
  17:01:06.13   -30:04:33.3   65     OGLE-BLG-RRLYR-41789   15.199   -99.99   0.2523862   8.0E-7   0.229   0.2523   16.086   0.397   V   RRc    NGC6266-V65     255.27555231301   0.1236    -30.07595262547   0.061     6029368690367277696   0.4572       0.1401    -4.229      0.181    -2.979      0.106    15.8183   0.0061   16.1293   0.0224   15.103    0.0131   1.0264    0     307    847.59      1.374      0.947531834     
  17:01:06.28   -30:05:19.8   80     OGLE-BLG-RRLYR-41790   14.917   -99.99   0.5961433   8.0E-7   0.44    0.5962   16.090   0.645   V   RRab   NGC6266-V80     255.276145299     0.0802    -30.08886107474   0.043     6029368376823146752   0.5168       0.0766    -5.175      0.122    -2.196      0.072    15.7454   0.0093   16.1757   0.0333   14.9289   0.0238   1.2468    0     293    298.34      1.397      0.896832851     
  17:01:06.31   -30:08:18.2   85     OGLE-BLG-RRLYR-41791   15.234   -99.99   0.3196031   6.0E-7   0.261   0.3196   16.365   0.432   V   RRc    NGC6266-NV85    255.2762809343    0.0715    -30.13840750824   0.0427    6029364940849059456   0.1947       0.0807    -4.926      0.123    -3.14       0.075    16.0374   0.0064   16.438    0.0252   15.175    0.0125   1.2629    0     313    328.91      1.45       0.982166491     
  17:01:06.33   -30:14:50.8   71     OGLE-BLG-RRLYR-41792   14.707   -99.99   0.7053819   1.2E-6   0.385   0.7045   --       --      P   RRab   NGC6266-V71     255.27636872048   0.0491    -30.24746050325   0.0355    6029362093371105536   -0.0053      0.0521    -4.78       0.094    -2.855      0.061    15.4988   0.008    15.9751   0.0334   14.7905   0.0186   1.1847    0     334    316.83      1.291      0.9812426       
  17:01:06.39   -30:09:01.7   48     OGLE-BLG-RRLYR-41794   14.85    -99.99   0.7433996   1.2E-6   0.48    0.7432   16.185   0.725   V   RRab   NGC6266-V48     255.27660734218   0.0661    -30.150504985     0.0383    6029364906489321472   0.1172       0.0755    -4.553      0.106    -2.853      0.066    15.7739   0.0104   16.3173   0.0396   14.9259   0.0237   1.3914    0     326    359.74      1.375      0.974170049     
  17:01:06.62   -30:06:16.4   6      OGLE-BLG-RRLYR-41795   15.011   -99.99   0.4920227   5.0E-7   0.665   0.492    16.121   1.082   V   RRab   NGC6266-V6      255.2775697263    0.1093    -30.10457795709   0.0644    6029368381129347712   0.6321       0.1217    -6.628      0.187    -1.68       0.115    15.8179   0.0159   15.8032   0.1049   14.6808   0.0536   1.1223    0     275    835.16      1.957      0.0             
  17:01:07.10   -30:05:16.3   16     OGLE-BLG-RRLYR-41797   14.794   -99.99   0.5958378   2.1E-6   0.645   0.594    15.883   1.105   V   RRab   NGC6266-V16     255.27955470603   0.0653    -30.08789348376   0.04      6029368381129490304   0.1464       0.0786    -5.316      0.102    -2.624      0.068    15.6168   0.0152   15.9648   0.0505   14.7841   0.0303   1.1807    0     304    261.98      1.449      0.97222708      
  17:01:07.30   -30:07:27.8   23     OGLE-BLG-RRLYR-41799   12.658   -99.99   0.4481079   6.0E-7   0.098   0.4482   14.699   0.306   V   RRab   NGC6266-V23     255.28038588709   0.2237    -30.12442271798   0.1608    6029368278152039680   1.3092       0.34      -5.8        0.412    -2.227      0.28     13.7774   0.0027   14.6026   0.0111   12.7838   0.0052   1.8188    1     273    8366.89     1.407      0.838348929     
  17:01:07.78   -30:05:39.2   86     OGLE-BLG-RRLYR-41801   15.123   -99.99   0.2911626   4.0E-7   0.253   0.2913   16.112   0.433   V   RRc    NGC6266-NV86    255.28243628745   0.1288    -30.09425686399   0.08      6029368376823151488   0.272        0.1529    -4.339      0.219    -1.524      0.139    15.8475   0.0075   16.05     0.0226   14.9695   0.0138   1.0805    0     322    1663.67     1.565      0.0723484125    
  17:01:08.01   -30:06:04.8   217    OGLE-BLG-RRLYR-41802   15.072   -99.99   0.320335    9.0E-7   0.248   0.3203   --       --      V   RRc    NGC6266-NV217   255.28336745085   0.1682    -30.10136159101   0.1005    6029368381129316736   -1.0227      0.1904    -6.414      0.277    -4.374      0.175    15.7737   0.0071   15.8062   0.1293   14.3469   0.1883   1.4592    0     249    1811.98     2.297      0.018953392     
  17:01:08.24   -30:06:55.9   34     OGLE-BLG-RRLYR-41803   14.807   -99.99   0.5836097   1.2E-6   0.594   0.5834   15.955   1.053   V   RRab   NGC6266-V34     255.28434698689   0.4784    -30.11556327652   0.2858    6029368278049913856   2.0132       0.5594    -9.854      0.769    -2.655      0.489    15.606    0.0114   15.6709   0.0432   14.4591   0.0288   1.2118    0     268    15691.6     1.916      0.0             
  17:01:08.31   -30:10:14.2   43     OGLE-BLG-RRLYR-41804   15.145   -99.99   0.5635352   5.0E-7   0.645   0.5636   16.481   0.859   V   RRab   NGC6266-V43     255.28460056101   0.3225    -30.17063742506   0.2088    6029364635914893440   5.4418       0.3885    -3.296      0.623    1.242       0.382    15.9577   0.0129   16.3306   0.0378   14.9032   0.0223   1.4274    0     347    12008.63    1.645      1.94857565E-12  
  17:01:08.34   -30:09:52.2   30     OGLE-BLG-RRLYR-41805   15.332   -99.99   0.3044298   5.0E-7   0.248   0.3041   16.502   0.422   V   RRc    NGC6266-V30     255.28472856625   0.0881    -30.16452568749   0.0506    6029364837769854976   0.0701       0.088     -5.273      0.14     -2.859      0.085    16.2149   0.0067   16.6803   0.0279   15.4205   0.016    1.2598    0     305    273.6       1.363      0.980908743     
  17:01:08.41   -30:05:12.7   87     OGLE-BLG-RRLYR-41806   14.862   -99.99   0.6422299   3.8E-6   0.188   0.6424   16.049   0.296   V   RRab   NGC6266-NV87    255.28502630632   0.116     -30.08689416589   0.057     6029368484310605184   0.13         0.1054    -5.532      0.147    -3.088      0.092    15.69     0.0043   16.106    0.0186   14.8629   0.012    1.243     0     292    303.5       1.412      0.973474344     
  17:01:08.58   -30:04:14.1   226    OGLE-BLG-RRLYR-41807   14.827   -99.99   0.6302258   9.0E-7   0.509   0.6301   15.984   0.796   V   RRab   NGC6266-NV226   255.28573224021   0.0874    -30.07061500025   0.0417    6029368724727004800   -1.0464      0.0978    -4.201      0.108    -3.595      0.07     15.6512   0.0116   16.0851   0.0462   14.8749   0.0295   1.2102    0     333    412.98      1.363      0.82970131      
  17:01:08.59   -30:05:23.6   88     OGLE-BLG-RRLYR-41809   14.963   -99.99   0.5808502   8.0E-7   0.438   0.5807   16.129   0.737   V   RRab   NGC6266-NV88    255.28578550016   0.0715    -30.08990425655   0.0412    6029368479902370048   0.1648       0.0777    -4.263      0.117    -2.019      0.071    15.7801   0.0093   16.2009   0.0314   14.9582   0.0237   1.2427    0     310    368.33      1.406      0.57324436      
  17:01:08.81   -30:06:43.6   37     OGLE-BLG-RRLYR-41813   13.741   -99.99   0.5841723   7.0E-7   0.265   0.5844   --       --      V   RRab   NGC6266-V37     255.28668553721   3.1486    -30.11211573801   1.2764    6029368312409686784   99999.9999   99.9999   99999.999   99.999   99999.999   99.999   14.5773   0.0056   14.9772   0.0178   13.4651   0.0114   1.5121    1     263    552992.3    1.694      0.0             
  17:01:08.99   -30:07:37.0   124    OGLE-BLG-RRLYR-41814   14.938   -99.99   0.4854698   4.0E-7   0.714   0.4855   --       1.115   V   RRab   NGC6266-NV124   255.28746980568   0.4845    -30.12696985761   0.2736    6029365323114574080   1.7834       0.4671    -11.213     0.741    -3.914      0.461    15.7498   0.017    15.8146   0.0637   14.5468   0.0425   1.2678    0     289    9396.76     1.981      4.17840298E-9   
  17:01:09.11   -30:07:46.3   89     OGLE-BLG-RRLYR-41816   15.006   -99.99   0.55824     1.8E-6   0.442   0.5581   --       --      V   RRab   NGC6266-NV89    255.28795245976   0.2007    -30.12955114653   0.1073    6029365323213271168   -0.6192      0.2159    -4.586      0.319    -4.054      0.185    15.8818   0.0115   15.8126   0.0386   14.6785   0.0256   1.134     0     312    2030.94     2.072      0.644114838     
  17:01:09.11   -30:06:40.2   196    OGLE-BLG-RRLYR-41817   14.533   -99.99   0.3108722   6.0E-7   0.138   0.3109   --       --      V   RRc    NGC6266-NV196   255.28798551315   1.7993    -30.11119614548   1.0064    6029368312511799680   99999.9999   99.9999   99999.999   99.999   99999.999   99.999   15.3624   0.0101   15.4272   0.0219   14.0566   0.0098   1.3705    1     224    208440.94   2.109      0.0             
  17:01:09.31   -30:07:33.8   127    OGLE-BLG-RRLYR-41818   14.914   -99.99   0.532812    3.0E-7   0.855   0.5328   15.942   1.307   V   RRab   NGC6266-NV127   255.28876652857   0.2314    -30.12609167934   0.1767    6029365323112260480   0.2201       0.3842    -5.509      0.44     -0.223      0.328    15.6728   0.0187   15.8241   0.2715   14.4692   0.1423   1.3549    0     270    4825.15     1.929      0.0             
  17:01:09.39   -30:08:53.0   44     OGLE-BLG-RRLYR-41820   15.412   -99.99   0.4457979   3.1E-6   0.605   0.4456   16.724   1.122   V   RRab   NGC6266-V44     255.28909928372   0.0809    -30.1480690712    0.0465    6029364872129599360   0.1235       0.0875    -5.549      0.138    -2.858      0.081    16.3157   0.0128   16.8676   0.0515   15.4971   0.0316   1.3706    0     313    339.27      1.346      0.971920728     
  17:01:09.42   -30:07:01.3   159    OGLE-BLG-RRLYR-41821   14.864   -99.99   0.3763763   1.7E-6   0.273   0.3763   --       --      V   RRc    NGC6266-NV159   255.28923342937   0.2728    -30.11706099589   0.173     6029368312409585408   -1.6611      0.3007    -2.629      0.432    -2.873      0.292    15.4806   0.0075   15.335    0.0427   14.1759   0.0167   1.1591    0     271    5016.6      2.255      0.0458006206    
  17:01:09.47   -30:09:13.2   31     OGLE-BLG-RRLYR-41823   15.323   -99.99   0.4855691   3.0E-7   0.813   0.4855   16.590   1.271   V   RRab   NGC6266-V31     255.28942608094   0.0872    -30.15367760839   0.0509    6029364872129600256   0.2075       0.1       -6.153      0.14     -2.952      0.089    16.3196   0.0125   16.867    0.0447   15.3809   0.0357   1.4862    1     333    412.22      1.454      0.851341026     
  17:01:09.54   -30:06:36.6   198    OGLE-BLG-RRLYR-41824   14.82    -99.99   0.5729392   8.0E-7   0.443   0.5763   16.059   0.782   V   RRab   NGC6266-NV198   255.28972229581   0.4123    -30.11019929671   0.2199    6029368312511799552   -0.0178      0.4062    -5.174      0.551    -0.372      0.362    15.6316   0.0116   15.378    0.1666   13.9827   0.1347   1.3954    1     216    4914.53     2.871      1.94555423E-5   
