# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER
OGLE-BLG-RRLYR-41795	RRab	17:01:06.62	-30:06:16.4	15.011	-99.99	-99.99	0.4920227	0.0000005	7000.05777	0.665	0.513	4.219	0.362	2.393	-99.99	-99.99	BLG884.18.45296	NGC6266-V6	
OGLE-BLG-RRLYR-41797	RRab	17:01:07.10	-30:05:16.3	14.794	-99.99	-99.99	0.5958378	0.0000021	7000.09619	0.645	0.504	4.397	0.318	2.655	-99.99	-99.99	BLG884.18.45480	NGC6266-V16	
OGLE-BLG-RRLYR-41799	RRab	17:01:07.30	-30:07:27.8	12.658	-99.99	-99.99	0.4481079	0.0000006	7000.10650	0.098	0.523	4.012	0.427	1.863	-99.99	-99.99	BLG884.18.43379	NGC6266-V23
OGLE-BLG-RRLYR-41801	RRc	17:01:07.78	-30:05:39.2	15.123	-99.99	-99.99	0.2911626	0.0000004	7000.22693	0.253	0.123	4.807	0.055	3.295	-99.99	-99.99	BLG884.18.45426	NGC6266-NV86	
OGLE-BLG-RRLYR-41802	RRc	17:01:08.01	-30:06:04.8	15.072	-99.99	-99.99	0.3203350	0.0000009	7000.00998	0.248	0.125	5.148	0.064	4.048	-99.99	-99.99	BLG884.18.45345	NGC6266-NV217	
OGLE-BLG-RRLYR-41803	RRab	17:01:08.24	-30:06:55.9	14.807	-99.99	-99.99	0.5836097	0.0000012	7000.39192	0.594	0.539	4.458	0.362	2.802	-99.99	-99.99	BLG884.18.44966	NGC6266-V34	
OGLE-BLG-RRLYR-41804	RRab	17:01:08.31	-30:10:14.2	15.145	-99.99	-99.99	0.5635352	0.0000005	7000.00685	0.645	0.552	4.418	0.371	2.777	-99.99	-99.99	BLG884.18.44433	NGC6266-V43	
OGLE-BLG-RRLYR-41805	RRc	17:01:08.34	-30:09:52.2	15.332	-99.99	-99.99	0.3044298	0.0000005	7000.29415	0.248	0.138	4.880	0.076	3.702	-99.99	-99.99	BLG884.18.44455	NGC6266-V30	
OGLE-BLG-RRLYR-41806	RRab	17:01:08.41	-30:05:12.7	14.862	-99.99	-99.99	0.6422299	0.0000038	7000.41399	0.188	0.303	4.793	0.107	3.745	-99.99	-99.99	BLG884.18.45490	NGC6266-NV87	
OGLE-BLG-RRLYR-41807	RRab	17:01:08.58	-30:04:14.1	14.827	-99.99	-99.99	0.6302258	0.0000009	7000.39053	0.509	0.491	4.663	0.306	3.198	-99.99	-99.99	BLG884.18.45597	NGC6266-NV226	
OGLE-BLG-RRLYR-41809	RRab	17:01:08.59	-30:05:23.6	14.963	-99.99	-99.99	0.5808502	0.0000008	7000.33682	0.438	0.484	4.590	0.298	3.068	-99.99	-99.99	BLG884.18.45463	NGC6266-NV88	
OGLE-BLG-RRLYR-41813	RRab	17:01:08.81	-30:06:43.6	13.741	-99.99	-99.99	0.5841723	0.0000007	7000.36698	0.265	0.549	4.317	0.335	2.408	-99.99	-99.99	BLG884.18.43679	NGC6266-V37	
OGLE-BLG-RRLYR-41814	RRab	17:01:08.99	-30:07:37.0	14.938	-99.99	-99.99	0.4854698	0.0000004	7000.17804	0.714	0.504	4.132	0.372	2.222	-99.99	-99.99	BLG884.18.44702	NGC6266-NV124	
OGLE-BLG-RRLYR-41816	RRab	17:01:09.11	-30:07:46.3	15.006	-99.99	-99.99	0.5582400	0.0000018	7000.22738	0.442	0.464	4.552	0.277	2.815	-99.99	-99.99	BLG884.18.44677	NGC6266-NV89	
OGLE-BLG-RRLYR-41817	RRc	17:01:09.11	-30:06:40.2	14.533	-99.99	-99.99	0.3108722	0.0000006	7000.27051	0.138	0.100	4.792	0.068	4.399	-99.99	-99.99	BLG884.18.44117	NGC6266-NV196	
